GrupaNaziv;Atribut;TipPodatka;AvailableValues;;;;
Krošnja;Plodišta truležnica;text;"[{""value"":""Malobrojna"",""text"":""Malobrojna""},{""value"":""Brojna"",""text"": ""Brojna""},{""value"":""Vrlo brojna"",""text"": ""Vrlo brojna""}]";;;;
Krošnja;Gljiva;text;"[{""value"": ""Phellinus pini"", ""text"": ""Phellinus pini""},{""value"": ""Ganoderma sp."", ""text"": ""Ganoderma sp.""},{""value"": ""Innotus sp."", ""text"": ""Innotus sp.""},{""value"": ""Phomopsis sp."", ""text"": ""Phomopsis sp.""},{""value"": ""Schizophyllum commune"", ""text"": ""Schizophyllum commune""},{""value"": ""Bolest iglica"", ""text"": ""Bolest iglica""},{""value"": ""Biscogniauxia mediterranea"", ""text"": ""Biscogniauxia mediterranea""}]";;;;
Krošnja;Kukci;text;"[{""value"": ""Mravi"", ""text"": ""Mravi""},{""value"": ""Ksilofagi"", ""text"": ""Ksilofagi""},{""value"": ""Potkornjaci"", ""text"": ""Potkornjaci""},{""value"": ""Defolijator"", ""text"": ""Defolijator""},{""value"": ""Kornjaši truležari (listorošci)"", ""text"": ""Kornjaši truležari (listorošci)""},{""value"": ""Crvena palmina pipa"", ""text"": ""Crvena palmina pipa""}]";;;;
Krošnja;Suhe i trule grane;text;"[{""value"":""Malo"",""text"":""Malo""},{""value"":""Puno"",""text"": ""Puno""}]";;;;
Krošnja;Suhi dijelovi krošnje;bool;;;;;
Krošnja;Lom grane;bool;;;;;
Krošnja;Opasne grane;bool;;;;;
Krošnja;Prorijeđena;bool;;;;;
Krošnja;Suncožar;bool;;;;;
Krošnja;Životinjska niša;bool;;;;;
Krošnja;Životinja;text;;;;;
Krošnja;Mehaničke ozljede;text;"[{""value"":""Svježe"",""text"":""Svježe""},{""value"":""Stare"",""text"": ""Stare""},{""value"":""Dobro kalusiraju"",""text"":""Dobro kalusiraju""},{""value"":""Loše kalusiraju"",""text"":""Loše kalusiraju""}]";;;;
Krošnja;Hipertrofije;text;"[{""value"":""Benigne"",""text"":""Benigne""},{""value"":""Upitne"",""text"": ""Upitne""}]";;;;
Krošnja;Bršljan;bool;;;;;
Vitalitet;Vitalitet;text;"[{""value"":""Vrlo dobar"",""text"":""Vrlo dobar""},{""value"":""Dobar"",""text"": ""Dobar""},{""value"":""Srednji (oslabljen)"",""text"": ""Srednji (oslabljen)""},{""value"":""Narušen (potrebno pratiti)"",""text"": ""Narušen (potrebno pratiti)""},{""value"":""Loš"",""text"": ""Loš""},{""value"":""Vrlo loš"",""text"": ""Vrlo loš""},{""value"": ""Nepoznat / Nije specificiran"", ""text"": ""Nepoznat / Nije specificiran""}]";;;;
Opće stanje;TRAQ prije sanacije;text;"[{""value"":""Malen"",""text"":""Malen""},{""value"":""Umjeren"",""text"": ""Umjeren""},{""value"":""Visok"",""text"": ""Visok""},{""value"":""Ekstreman"",""text"": ""Ekstreman""}]";;;;
Opće stanje;TRAQ nakon sanacije;text;"[{""value"":""Malen"",""text"":""Malen""},{""value"":""Umjeren"",""text"": ""Umjeren""},{""value"":""Visok"",""text"": ""Visok""},{""value"":""Ekstreman"",""text"": ""Ekstreman""}]";;;;
Opće stanje;Uredno;bool;;;;;
Opće stanje;Loše;bool;;;;;
Opće stanje;Narušena statika;bool;;;;;
Opće stanje;Suho stablo;bool;;;;;
Opće stanje;Nema funkciju;bool;;;;;
Opće stanje;Izvaljeno;bool;;;;;
Opće stanje;Opasno;bool;;;;;
Opće stanje;Srušeno;bool;;;;;
Preporuka;Rušiti;bool;;;;;
Preporuka;Frezati;bool;;;;;
Preporuka;Orezati;bool;;;;;
Preporuka;Prorijediti;bool;"[{""value"":""10%"",""text"":""10%""},{""value"":""20%"",""text"": ""20%""},{""value"":""30%"",""text"": ""30%""},{""value"":""40%"",""text"": ""40%""}]";;;;
Preporuka;Sidriti;bool;;;;;
Preporuka;Hitno;bool;;;;;
Opće stanje;Bonitet;text;"[{""value"":""1E"",""text"":""1E""},{""value"":""1"",""text"": ""1""},{""value"":""2"",""text"": ""2""},{""value"":""3"",""text"": ""3""},{""value"":""4"",""text"": ""4""},{""value"":""5"",""text"": ""5""}]";;;;
